deviant_position,roving_block,repetition,mean_single_block_gfp_0_180_ms
1,7,4,1.9718787735127532
1,7,5,1.1729399619915573
1,7,6,1.2898413175996755
1,7,7,1.4471164184339367
1,7,8,1.3500616457805075
1,7,9,1.3151739394204536
1,7,10,1.382667035136132
1,7,11,1.4793216602607095
1,7,12,2.3524248504113308
1,7,13,0.9822236494210398
1,7,14,1.5721388543838275
1,7,15,1.3460253041069716
1,8,1,1.4399219633113347
1,8,2,1.4216468989593818
1,8,3,1.1753142365604685
1,8,4,1.4722332312311424
1,8,5,1.137658148740625
1,8,6,1.7608936856909876
1,8,7,1.1793250346369508
1,8,8,1.382140307598007
1,8,9,1.9431979398976418
1,8,10,1.482766018172037
1,8,11,1.3042411313040148
1,8,12,1.1769077231252452
1,8,13,0.8525456223050523
1,8,14,1.296518493321874
1,8,15,1.577123860354843
1,9,1,1.002150283227096
1,9,2,1.4950007828186946
1,9,3,1.3273079431662262
1,9,4,1.4408431572529283
1,9,5,2.0920115403280635
1,9,6,1.0348488279366341
1,9,7,1.0737741211659784
1,9,8,1.476307500764733
1,9,9,1.2817646569983028
1,9,10,1.232781637991501
1,9,11,1.3962615643338387
1,9,12,1.212423923760387
1,9,13,1.0614718825044094
1,9,14,1.2497234870493195
1,9,15,1.9988144781098474
1,10,1,1.4421086617557675
1,10,2,1.768815292828699
1,10,3,1.2024865477492908
1,10,4,1.7465447975162787
1,10,5,1.1587399873494335
1,10,6,1.0966302100695557
1,10,7,1.048266947610024
1,10,8,1.428504015236055
1,10,9,1.6903759403937797
1,10,10,1.152477860825891
1,10,11,1.0245611020388352
1,10,12,1.3053869905966755
1,10,13,1.1593034903969999
1,10,14,1.6109097015251796
1,10,15,0.9944364143248812
1,11,1,1.3785219207259702
1,11,2,1.3384125598674428
1,11,3,1.0183701886204586
1,11,4,1.6790925807568784
1,11,5,0.9562293625683153
1,11,6,1.2863394126823464
1,11,7,1.3398453171337406
1,11,8,1.2101889692366892
1,11,9,1.5741012616749295
1,11,10,1.656816325275686
1,11,11,1.3870309750254108
1,11,12,2.070029816882002
1,11,13,0.9172752614052263
1,11,14,1.0863510203952955
1,11,15,1.428939441890096
1,12,1,1.6197774019523383
1,12,2,1.1954250873754926
1,12,3,1.2689308032880295
1,12,4,1.0707554887898565
1,12,5,1.808363339278923
1,12,6,1.3525202553625197
1,12,7,0.9159656715396789
1,12,8,1.6706002248714662
1,12,9,1.2437048359353624
1,12,10,1.056200249137021
1,12,11,1.4448522564208985
1,12,12,1.1910332672128574
1,12,13,1.3099258756185745
1,12,14,1.5370132711661333
1,12,15,1.4126830962904005
1,13,1,1.1750322969535807
1,13,2,1.5716739939033617
1,13,3,1.2930947689350316
1,13,4,1.6603845819254521
1,13,5,1.3040439511158426
1,13,6,1.3613868839824923
1,13,7,1.0354354920832332
1,13,8,1.4234732369547174
1,13,9,1.1366415351311259
1,13,10,1.6642693231428383
1,13,11,1.6204187579757514
1,13,12,1.409755271631178
1,13,13,1.240854054942891
1,13,14,1.058873192412687
1,13,15,1.5018992582658564
1,14,1,1.1445114247119497
1,14,2,1.2921942088058949
1,14,3,1.1729002370852308
1,14,4,1.2747899543074792
1,14,5,1.3821453206517131
1,14,6,1.3764719106677268
1,14,7,1.3461566089816914
1,14,8,1.6481544834341624
1,14,9,1.6423565229679797
1,14,10,1.2616355453074555
1,14,11,1.5373746565163389
1,14,12,1.299896002000448
1,14,13,1.7464595925911495
1,14,14,1.338284061959912
1,14,15,1.4061916005440165
1,15,1,1.305099695606193
1,15,2,1.3103005630863982
1,15,3,1.2515030542147882
1,15,4,1.5305602166649126
1,15,5,1.3536970269690187
1,15,6,1.1605347588997181
1,15,7,1.3975153975128267
1,15,8,1.2488274632751013
1,15,9,1.2406830290858346
1,15,10,1.2276946908285757
1,15,11,1.2012034308987274
1,15,12,1.8633815446896032
1,15,13,1.4507259437469329
1,15,14,1.4275797369857195
1,15,15,1.0667102880324786
